id;KOV;maakond;nimekiri;partei;nr;haali;ehaali
id_4698;Luunja vald;Tartu;Valimisliit Koduvald Luunja;Muu;nr161;16;4
id_2380;Kambja vald;Tartu;Valimisliit Koduvald;Muu;nr108;4;0
id_4354;K‰ru vald;Rapla;Eesti Reformierakond;Eesti Reformierakond;nr114;7;3
id_7362;Pılva vald;Pılva;Valimisliit Pılva Areng;Muu;nr186;27;11
id_884;Haapsalu linn;L‰‰ne;Eesti Reformierakond;Eesti Reformierakond;nr177;101;21
id_9526;Suure-Jaani vald;Viljandi;Eesti Reformierakond;Eesti Reformierakond;nr116;20;1
id_11782;Tartu linn;Tartu linn;Eesti Reformierakond;Eesti Reformierakond;nr523;1;0
id_11329;Tallinn 8;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1311;12;2
id_11125;Tallinn 7;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr680;6;2
id_2552;Karula vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr114;35;6
id_7213;Pıltsamaa linn;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr101;46;3
id_10073;Tallinn 2;Tallinna linn;Eesti Konservatiivne Rahvaerakond;Muu;nr1588;5;0
id_6214;Otep‰‰ vald;Valga;Valimisliit Otep‰‰;Muu;nr136;234;30
id_3711;Kose vald;Harju;VALIMISLIIT MEIE VALD KOSE;Muu;nr120;22;6
id_3568;Kolga-Jaani vald;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr109;24;0
id_9886;Tallinn 1;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr343;44;18
id_12215;Tarvastu vald;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr128;7;2
id_7540;P‰rnu linn;P‰rnu;Toomas Kivim‰gi Valimisliit;Muu;nr228;55;9
id_14207;Vınnu vald;Tartu;Valimisliit ÑOma inimesedì.;Muu;nr138;17;4
id_13297;Veriora vald;Pılva;Valimisliit Koduvald Veriora;Muu;nr111;11;2
id_9161;Saue vald;Harju;Valimisliit Suurliit;Muu;nr163;1;1
id_2102;J‰rva-Jaani vald;J‰rva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr139;2;0
id_5392;Mustjala vald;Saare;Valimisliit Koduvald Mustjala;Muu;nr110;1;0
id_10802;Tallinn 5;Tallinna linn;Vaba Tallinna Kodanik Valimisliit;Muu;nr869;136;55
id_4519;Lasva vald;Vıru;Eesti Keskerakond;Eesti Keskerakond;nr105;8;0
id_13359;Vigala vald;Rapla;Eesti Keskerakond;Eesti Keskerakond;nr147;28;1
id_10864;Tallinn 5;Tallinna linn;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr226;22;9
id_2936;Kernu vald;Harju;Kernu Vallarahva Valimisliit;Muu;nr154;1;0
id_14396;Vıru vald;Vıru;Valimisliit VALLA EEST;Muu;nr141;95;20
id_6397;Paide linn;J‰rva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr141;27;5
id_7258;Pıltsamaa vald;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr152;5;0
id_13760;Viljandi linn;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr195;18;3
id_6631;Pajusi vald;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr147;9;3
id_7549;P‰rnu linn;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr189;104;20
id_9636;Sımerpalu vald;Vıru;Valimisliit KODUVALLA HEAKS;Muu;nr120;5;1
id_13180;Vasalemma vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr101;129;27
id_7463;P‰rnu linn;P‰rnu;Eesti Konservatiivne Rahvaerakond;Muu;nr129;15;1
id_6576;Paikuse vald;P‰rnu;Valimisliit PAREM PAIKUSE;Muu;nr119;19;9
id_7781;Raasiku vald;Harju;Kodukoha eest valimisliit;Muu;nr159;18;7
id_2340;Kallaste linn;Tartu;Valimisliit "’iglus";Muu;nr161;27;1
id_9476;Sonda vald;Ida-Viru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr127;7;2
id_2197;Kaarma vald;Saare;Eesti Reformierakond;Eesti Reformierakond;nr146;71;28
id_6263;Otep‰‰ vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr128;10;4
id_10446;Tallinn 4;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr500;4;1
id_12712;T¸ri vald;J‰rva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr107;5;1
id_781;Haanja vald;Vıru;Valimisliit Kogukond;Muu;nr101;33;4
id_10662;Tallinn 5;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr529;7;3
id_7106;Puurmani vald;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr144;21;4
id_2103;J‰rva-Jaani vald;J‰rva;Valimisliit J‰rva-Jaani Heaks;Muu;nr102;35;2
id_12803;Urvaste vald;Vıru;Valimisliit ‹ks Urvaste;Muu;nr115;17;7
id_2949;Kernu vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr102;66;22
id_2946;Kernu vald;Harju;Valimisliit Koostˆˆ;Muu;nr121;25;6
id_3044;Kiili vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr141;67;28
id_8560;Rıngu vald;Tartu;Eesti Keskerakond;Eesti Keskerakond;nr151;20;2
id_6538;Paide vald;J‰rva;Valimisliit Meie Vald;Muu;nr132;16;3
id_10204;Tallinn 2;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr394;10;5
id_1804;Jıgeva linn;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr154;8;3
id_11748;Tartu linn;Tartu linn;Eesti Konservatiivne Rahvaerakond;Muu;nr279;10;4
id_9398;Sindi linn;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr135;9;3
id_11670;Tartu linn;Tartu linn;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr215;57;18
id_13431;Vihula vald;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr131;6;0
id_2601;Kasep‰‰ vald;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr102;4;0
id_6151;Orava vald;Pılva;Valimisliit Koduvald Orava;Muu;nr114;15;7
id_11722;Tartu linn;Tartu linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr366;31;11
id_8693;R‰pina vald;Pılva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr164;8;0
id_7008;Puhja vald;Tartu;Valimisliit Nr 1;Muu;nr122;19;6
id_6599;Pajusi vald;Jıgeva;‹ksikkandidaat;Muu;nr152;45;20
id_8084;Rakvere linn;L‰‰ne-Viru;Eesti Keskerakond;Eesti Keskerakond;nr156;32;3
id_102;Aegviidu vald;Harju;Valimisliit AINULT ‹KS AEGVIIDU;Muu;nr114;10;2
id_8204;Rakvere linn;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr200;49;9
id_3868;Kullamaa vald;L‰‰ne;Kodukandi Kullamaa Valimisliit;Muu;nr143;28;8
id_12094;Tartu vald;Tartu;Valimisliit Kohalik Elu;Muu;nr160;7;2
id_649;Avinurme vald;Ida-Viru;Eesti Reformierakond;Eesti Reformierakond;nr104;14;0
id_6645;Pajusi vald;Jıgeva;Valimisliit Pajusi;Muu;nr116;9;2
id_11057;Tallinn 6;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr646;8;1
id_13262;Vastse-Kuuste vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr108;7;1
id_7544;P‰rnu linn;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr214;28;3
id_4440;Laeva vald;Tartu;Eesti Reformierakond;Eesti Reformierakond;nr128;10;2
id_1260;Harku vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr201;65;22
id_12064;Tartu linn;Tartu linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr423;10;6
id_12386;Torma vald;Jıgeva;Valimisliit MEIE INIMESED;Muu;nr113;27;2
id_13980;Vinni vald;L‰‰ne-Viru;Valimisliit M‰rka Inimest;Muu;nr119;16;3
