"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta";"aktsiate_arv"
"A";"Agilent Technologies Inc";"Health Care";39.11;-1.29;2567439;1.49;0.3833;335300000
"AA";"Alcoa Inc";"Materials";16.42;-0.97;15182135;0.21;0.09;1216700000
"AAPL";"Apple Inc.";"Information Technology";119.56;0.77;70149744;7.385;1.8457;5824700000
"ABBV";"AbbVie";"Health Care";56.91;-7.69;31250640;1.1;1.75;1593300000
"ABC";"AmerisourceBergen Corp";"Health Care";95.87;0.24;1777618;0.153;0.995;219500000
"ABT";"Abbott Laboratories";"Health Care";45.17;-1.44;8231178;1.489;0.9;1505800000
"ACE";"ACE Limited";"Financials";111.62;0.55;1508980;8.42;2.58;328700000
"ACN";"Accenture plc";"Information Technology";87.34;-0.66;2764092;4.663;1.95;628100000
"ACT";"Actavis plc";"Health Care";266.23;-0.79;1883647;-5.314;0;265100000
"ADBE";"Adobe Systems Inc";"Information Technology";72.28;0.5;2165414;0.53;0;498300000
"ADI";"Analog Devices, Inc.";"Information Technology";53.78;-0.35;1466507;1.98;1.48;311200000
"ADM";"Archer-Daniels-Midland Co";"Consumer Staples";46.15;-5.35;9231158;2.909;0.96;643800000
"ADP";"Automatic Data Processing";"Information Technology";86.58;1.69;3659204;3.071;1.7543;482100000
"ADS";"Alliance Data Systems";"Information Technology";292.32;-1;854761;8.749;0;59400000
"ADSK";"Autodesk Inc";"Information Technology";56.44;2.77;2350773;0.531;0;227500000
"ADT";"ADT Corp";"Industrials";36.12;0.31;1823371;1.683;0.81;171200000
"AEE";"Ameren Corp";"Utilities";44.58;-1.87;1948848;2.342;1.61;242600000
"AEP";"American Electric Power";"Utilities";62.22;-0.86;3356221;3.342;2.03;4.89e+08
"AES";"AES Corp";"Utilities";12.52;0.32;5828283;0.491;0.25;7.13e+08
"AET";"Aetna Inc";"Health Care";96.05;1.99;3873347;5.991;0.925;351700000
"AFL";"AFLAC Inc";"Financials";60.68;2.69;3444086;6.376;1.5;450600000
"AGN";"Allergan Inc";"Health Care";219.42;-0.43;1092443;4.278;0.2;297900000
"AIG";"American International Group, Inc.";"Financials";51.51;0.35;10292021;6.045;0.5;1399900000
"AIZ";"Assurant Inc";"Financials";65.56;-0.15;372766;7.187;1.06;70300000
"AIV";"Apartment Investment & Mgmt";"Financials";40.12;0.15;1177674;2.653;1.04;146200000
"AKAM";"Akamai Technologies Inc";"Information Technology";59.95;-0.27;1598292;1.75;0;1.78e+08
"ALL";"Allstate Corp";"Financials";72.58;0.76;3677435;6.185;1.12;419400000
"ALLE";"Allegion";"Industrials";55.63;1.05;578298;0;0.32;NA
"ALTR";"Altera Corp";"Information Technology";33.82;-0.7;1586992;1.52;0.66;302400000
"ALXN";"Alexion Pharmaceuticals";"Health Care";178.29;0.44;1616518;3.26;0;198700000
"AMAT";"Applied Materials Inc";"Information Technology";23.62;0.72;14635941;0.87;0.4;1221500000
"AME";"Ametek";"Industrials";49.51;-1.86;992692;2.37;0.33;2.44e+08
"AMG";"Affiliated Managers Group Inc";"Financials";209.52;-0.68;387550;8.002;0;55300000
"AMGN";"Amgen Inc";"Health Care";151.45;-0.51;5827111;6.7;2.44;7.6e+08
"AMP";"Ameriprise Financial";"Financials";131.88;-0.48;1274150;8.3;2.26;183100000
"AMZN";"Amazon.com Inc";"Consumer Discretionary";364.75;0.33;4169927;-0.522;0;464400000
"AMT";"American Tower Corp A";"Financials";97.85;-1.25;1697202;1.83;1.4;396500000
"AN";"AutoNation Inc";"Consumer Discretionary";62.81;-0.57;1683693;3.401;0;113200000
