riik,aasta,vola_skp_suhe,skp_kasv,valikuline,exceli_viga
Australia,1946,190.4190801,-3.557951482,1,1
Australia,1947,177.3213714,2.459474567,1,1
Australia,1948,148.9298105,6.437534097,1,1
Australia,1949,125.8286986,6.611993849,1,1
Australia,1950,109.809398,6.920201242,1,1
Australia,1951,87.09447923,4.272611548,0,1
Australia,1952,86.06643818,0.9046516,0,1
Australia,1953,79.86502211,3.119280285,0,1
Australia,1954,76.84670289,6.216813827,0,1
Australia,1955,74.98050195,5.462089671,0,1
Australia,1956,71.81826577,3.441608143,0,1
Australia,1957,67.72376347,2.003011657,0,1
Australia,1958,66.04975124,4.802932156,0,1
Australia,1959,62.38845144,6.156573691,0,1
Australia,1960,48.33638026,4.191212638,0,1
Australia,1961,49.37811383,0.689465884,0,1
Australia,1962,50.33076075,6.248841495,0,1
Australia,1963,47.58753095,6.125569558,0,1
Australia,1964,45.01152605,6.841499618,0,1
Australia,1965,43.73903743,5.107341974,0,1
Australia,1966,42.48123303,2.783063954,0,1
Australia,1967,40.53448089,6.751673467,0,1
Australia,1968,39.49426659,5.878890615,0,1
Australia,1969,36.80077642,6.081697094,0,1
Australia,1970,34.96359063,6.359787029,0,1
Australia,1971,32.28987172,4.44882407,0,1
Australia,1972,30.72174427,2.80580155,0,1
Australia,1973,27.3614668,5.421130233,0,1
Australia,1974,22.3663944,2.479194958,0,1
Australia,1975,23.63684736,2.707462653,0,1
Australia,1976,22.98234909,4.031053058,0,1
Australia,1977,23.63891032,1.046756909,0,1
Australia,1978,24.73289175,2.901082071,0,1
Australia,1979,20.87219511,5.265974799,0,1
Australia,1980,19.12408759,1.998402053,0,1
Australia,1981,16.17684498,4.155751638,0,1
Australia,1982,15.04361512,-0.009740007,0,1
Australia,1983,17.57969558,-0.526011598,0,1
Australia,1984,20.06292396,6.414499812,0,1
Australia,1985,21.424017,5.716196264,0,1
Australia,1986,21.49170771,2.110579592,0,1
Australia,1987,19.99391235,4.396280959,0,1
Australia,1988,16.29359341,4.030412731,0,1
Australia,1989,12.49832977,4.574949066,0,1
Australia,1990,10.33120139,1.604439522,0,1
Australia,1991,9.308321393,-1.250116968,0,1
Australia,1992,10.86571692,2.112287375,0,1
Australia,1993,13.81496243,3.897211812,0,1
Australia,1994,15.91847488,5.01353867,0,1
Australia,1995,18.38345587,3.488831888,0,1
Australia,1996,17.77532337,4.281607041,0,1
Australia,1997,17.41232457,3.99699686,0,1
Australia,1998,14.5861377,5.051379311,0,1
Australia,1999,13.21604926,4.401723734,0,1
Australia,2000,11.10601787,3.426129648,0,1
Australia,2001,9.239782597,2.089340216,0,1
Australia,2002,8.227777925,4.247348493,0,1
Australia,2003,7.031335039,2.965939765,0,1
Australia,2004,6.271350951,3.842278649,0,1
Australia,2005,5.892013343,2.759194655,0,1
Australia,2006,5.392566363,2.840372034,0,1
Australia,2007,4.905430103,4.048780298,0,1
Australia,2008,4.677887066,2.354223964,0,1
Australia,2009,8.418269842,0.732249739,0,1
Austria,1946,NA,16.8,0,1
Austria,1947,NA,10.2739726,0,1
Austria,1948,35.20228329,27.32919255,0,1
Austria,1949,26.44814137,18.90243902,0,1
Austria,1950,22.14439821,12.40896184,0,1
Austria,1951,15.26433121,6.839934635,0,1
Austria,1952,13.58040122,0.087399854,0,1
Austria,1953,16.5658059,4.351622762,0,1
Austria,1954,14.26809984,10.21966527,0,1
Austria,1955,11.89473193,11.05311442,0,1
Austria,1956,10.92381911,6.879361914,0,1
Austria,1957,8.304269074,6.124733475,0,1
Austria,1958,11.59275807,3.651614848,0,1
Austria,1959,13.51990432,2.842120566,0,1
Austria,1960,13.56851023,8.231829426,0,1
Austria,1961,12.3920536,5.309214393,0,1
Austria,1962,11.96626965,2.42258878,0,1
Austria,1963,12.08861706,4.070635721,0,1
Austria,1964,12.04366042,6.00190044,0,1
Austria,1965,11.47139959,2.875855256,0,1
Austria,1966,10.9782892,5.628267596,0,1
Austria,1967,12.10706908,3.040455227,0,1
Austria,1968,12.98429149,4.444081366,0,1
Austria,1969,13.0161194,6.288619476,0,1
Austria,1970,10.58343807,7.123408639,0,1
Austria,1971,9.27693842,5.112317098,0,1
Austria,1972,8.938241059,6.208663373,0,1
Austria,1973,9.186193394,4.887023727,0,1
Austria,1974,8.875890683,3.943585953,0,1
Austria,1975,12.79935241,-0.36235156,0,1
Austria,1976,15.18105914,4.57702199,0,1
Austria,1977,16.42551421,4.676785076,0,1
Austria,1978,18.85604772,-0.363263785,0,1
Austria,1979,23.58817801,5.455319768,0,1
Austria,1980,25.20114714,2.314,0,1
Austria,1981,26.76228486,-0.099,0,1
Austria,1982,28.84231073,1.908,0,1
Austria,1983,32.9775287,2.804,0,1
Austria,1984,35.45827491,0.332,0,1
Austria,1985,37.64091447,2.243,0,1
Austria,1986,42.02784419,2.341,0,1
Austria,1987,45.7718945,1.681,0,1
Austria,1988,45.75989611,0.961,0,1
Austria,1989,45.84739348,3.742,0,1
Austria,1990,45.96918062,4.171,0,1
Austria,1991,46.65087656,3.338,0,1
Austria,1992,46.74949905,1.888,0,1
Austria,1993,50.59122895,0.374,0,1
Austria,1994,53.3303395,2.213,0,1
Austria,1995,55.86983787,2.539,0,1
Austria,1996,56.34915348,2.23,0,1
Austria,1997,58.4586876,2.126,0,1
Austria,1998,58.47650785,3.595,0,1
Austria,1999,59.58914834,3.34,0,1
Austria,2000,58.1634374,3.651,0,1
Austria,2001,57.13579829,0.52,0,1
Austria,2002,56.63885436,1.647,0,1
Austria,2003,56.8190164,0.801,0,1
Austria,2004,58.23087696,2.545,0,1
Austria,2005,58.02040356,2.46,0,1
Austria,2006,56.70825493,3.46,0,1
Austria,2007,54.42606968,3.547,0,1
Austria,2008,57.46342259,2.048,0,1
Austria,2009,62.16735686,-3.824,0,1
Belgium,1946,118.2628018,NA,0,1
Belgium,1947,98.64205967,15.21630211,0,1
Belgium,1948,74.24051082,11.44055423,0,1
Belgium,1949,78.25406849,-1.306628915,0,1
Belgium,1950,73.68287824,5.641317121,0,1
Belgium,1951,64.47166902,7.033062605,0,1
Belgium,1952,66.25386354,-0.429523563,0,1
Belgium,1953,68.4600946,2.931077498,0,1
Belgium,1954,69.86141381,-1.26872535,0,1
Belgium,1955,68.62433491,5.149511819,0,1
Belgium,1956,65.88997673,2.432159831,0,1
